"cosit","class","year","month","day","VehicleCount"
"000000001016","2","2019","9","28","20056"
"000000001182","2","2019","9","28","6252"
"000000003171","6","2019","9","28","77"
"000000020011","4","2019","9","28","403"
"000000031031","7","2019","9","28","91"
"000000201321","3","2019","9","28","874"
"000000020251","7","2019","9","28","16"
"000000001242","5","2019","9","28","55"
"000000020074","7","2019","9","28","146"
"000000020221","6","2019","9","28","22"
"000000001523","6","2019","9","28","31"
"000000200720","7","2019","9","28","82"
"000000001070","1","2019","9","28","184"
"000000200713","0","2019","9","28","1"
"000000001721","1","2019","9","28","8"
"000000001581","1","2019","9","28","7"
"000000020047","0","2019","9","28","3"
"000000001054","2","2019","9","28","2098"
"000000001111","5","2019","9","28","47"
"000000001271","5","2019","9","28","63"
"000000001503","6","2019","9","28","1767"
"000000001716","3","2019","9","28","772"
"000000020079","6","2019","9","28","574"
"000000020671","3","2019","9","28","147"
"000000001253","5","2019","9","28","257"
"000000020224","6","2019","9","28","26"
"000000031061","4","2019","9","28","330"
"000000020051","1","2019","9","28","9"
"000000020252","5","2019","9","28","63"
"000000200719","4","2019","9","28","97"
"000000001057","5","2019","9","28","97"
"000000020066","1","2019","9","28","15"
"000000001114","7","2019","9","28","154"
"000000001561","1","2019","9","28","23"
"000000001252","7","2019","9","28","36"
"000000001831","7","2019","9","28","32"
"000000001594","1","2019","9","28","2"
"000000001053","2","2019","9","28","2343"
"000000001281","2","2019","9","28","10623"
"000000001507","5","2019","9","28","360"
"000000001711","3","2019","9","28","842"
"000000020086","6","2019","9","28","481"
"000000200812","7","2019","9","28","60"
"000000020251","4","2019","9","28","31"
"000000200720","4","2019","9","28","139"
"000000020223","6","2019","9","28","30"
"000000001522","4","2019","9","28","13"
"000000020018","5","2019","9","28","40"
"000000200719","1","2019","9","28","69"
"000000003182","4","2019","9","28","48"
"000000001623","5","2019","9","28","40"
"000000001681","5","2019","9","28","17"
"000000001242","7","2019","9","28","32"
"000000001831","4","2019","9","28","7"
"000000001505","0","2019","9","28","4"
"000000020112","0","2019","9","28","1"
"000000001013","6","2019","9","28","74"
"000000001072","2","2019","9","28","38711"
"000000001086","6","2019","9","28","340"
"000000001500","2","2019","9","28","46243"
"000000001631","2","2019","9","28","1386"
"000000001711","6","2019","9","28","120"
"000000003172","5","2019","9","28","99"
"000000020063","2","2019","9","28","7701"
"000000020182","5","2019","9","28","176"
"000000020522","3","2019","9","28","266"
"000000031031","4","2019","9","28","270"
"000000001090","5","2019","9","28","71"
"000000020907","4","2019","9","28","40"
"000000020183","7","2019","9","28","84"
"000000001173","5","2019","9","28","67"
"000000020591","6","2019","9","28","6"
"000000001222","7","2019","9","28","37"
"000000001223","1","2019","9","28","22"
"000000001271","7","2019","9","28","26"
"000000001701","7","2019","9","28","9"
"000000001057","7","2019","9","28","30"
"000000001701","4","2019","9","28","3"
"000000003801","1","2019","9","28","8"
"000000001015","0","2019","9","28","47"
"000000001321","3","2019","9","28","1075"
"000000020041","2","2019","9","28","24938"
"000000020042","6","2019","9","28","814"
"000000200713","6","2019","9","28","281"
"000000001171","2","2019","9","28","4285"
"000000001201","6","2019","9","28","105"
"000000001591","3","2019","9","28","410"
"000000020117","3","2019","9","28","1003"
"000000001017","4","2019","9","28","223"
"000000020045","3","2019","9","28","344"
"000000001132","1","2019","9","28","62"
"000000202104","2","2019","9","28","2333"
"000000001045","5","2019","9","28","76"
"000000020257","7","2019","9","28","106"
"000000001782","7","2019","9","28","16"
"000000003173","4","2019","9","28","16"
"000000001133","1","2019","9","28","24"
"000000020301","7","2019","9","28","15"
"000000001014","4","2019","9","28","1045"
"000000001038","4","2019","9","28","57"
"000000001624","2","2019","9","28","2074"
"000000001811","2","2019","9","28","4325"
"000000003804","3","2019","9","28","446"
"000000010113","6","2019","9","28","155"
"000000020906","3","2019","9","28","498"
"000000020186","3","2019","9","28","525"
"000000001256","5","2019","9","28","308"
"000000020908","5","2019","9","28","56"
"000000001058","5","2019","9","28","70"
"000000001713","4","2019","9","28","32"
